Date,R
19951130,0.044029
19951229,0.017643
19960131,0.034861
19960229,0.010087
19960329,0.009585
19960430,0.015133
19960531,0.025257
19960628,0.004128
19960731,-0.044441
19960830,0.021928
19960930,0.056035
19961031,0.026798
19961129,0.076455
19961231,-0.019815
19970131,0.062779
19970228,0.007752
19970331,-0.041653
19970430,0.060274
19970530,0.061401
19970630,0.044103
19970731,0.080388
19970829,-0.05497
19970930,0.053886
19971031,-0.032605
19971128,0.046321
19971231,0.017147
19980130,0.011994
19980227,0.071956
19980331,0.051336
19980430,0.011275
19980529,-0.017674
19980630,0.04097
19980731,-0.010109
19980831,-0.143124
19980930,0.063176
19981030,0.080111
19981130,0.062165
19981231,0.059673
19990129,0.0428
19990226,-0.031935
19990331,0.038979
19990430,0.037559
19990528,-0.023162
19990630,0.054431
19990730,-0.03022
19990831,-0.004989
19990930,-0.028079
19991029,0.064238
19991130,0.020822
19991231,0.062579
20000131,-0.049606
20000229,-0.017459
20000331,0.098492
20000428,-0.031585
20000531,-0.022304
20000630,0.026219
20000731,-0.012795
20000831,0.062594
20000929,-0.052088
20001031,-0.00412
20001130,-0.078268
20001229,0.00572
20010131,0.032375
20010228,-0.090952
20010330,-0.063706
20010430,0.077825
20010531,0.00687
20010629,-0.024506
20010731,-0.009317
20010831,-0.063435
20010928,-0.080361
20011031,0.019542
20011130,0.078787
20011231,0.009051
20020131,-0.014324
20020228,-0.019481
20020328,0.037572
20020430,-0.061001
20020531,-0.0078
20020628,-0.071349
20020731,-0.073987
20020830,0.007061
20020930,-0.108965
20021031,0.088599
20021129,0.059019
20021231,-0.058834
20030131,-0.026579
20030228,-0.015246
20030331,0.010308
20030430,0.082774
20030530,0.053251
20030630,0.012816
20030731,0.017932
20030829,0.019597
20030930,-0.010737
20031031,0.05556
20031128,0.009259
20031231,0.05178
20040130,0.019078
20040227,0.014403
20040331,-0.014982
20040430,-0.015584
20040528,0.013629
20040630,0.019488
20040730,-0.032954
20040831,0.003807
20040930,0.010817
20041029,0.014973
20041130,0.040559
20041231,0.033734
20050131,-0.023824
20050228,0.021152
20050331,-0.01724
20050429,-0.018926
20050531,0.031994
20050630,0.001717
20050729,0.037364
20050831,-0.009159
20050930,0.008067
20051031,-0.015673
20051130,0.038289
20051230,-0.00006
20060131,0.026426
20060228,0.002425
20060331,0.012909
20060428,0.012064
20060531,-0.028319
20060630,0.001587
20060731,0.005571
20060831,0.02415
20060929,0.026487
20061031,0.032528
20061130,0.018385
20061229,0.013768
20070131,0.015318
20070228,-0.019288
20070330,0.010894
20070430,0.043991
20070531,0.034459
20070629,-0.01662
20070731,-0.031197
20070831,0.015094
20070928,0.037468
20071031,0.01736
20071130,-0.041382
20071231,-0.006116
20080131,-0.061166
20080229,-0.031419
20080331,-0.0034
20080430,0.048629
20080530,0.012986
20080630,-0.082819
20080731,-0.007306
20080829,0.014955
20080930,-0.085467
20081031,-0.166981
20081128,-0.073512
20081231,0.011995
20090130,-0.082615
20090227,-0.103584
20090331,0.087634
20090430,0.09423
20090529,0.05464
20090630,0.002476
20090731,0.074482
20090831,0.034751
20090930,0.036534
20091030,-0.018259
20091130,0.060257
20091231,0.018983
20100129,-0.035751
20100226,0.030426
20100331,0.061014
20100430,0.015977
20100528,-0.080111
20100630,-0.053525
20100730,0.070451
20100831,-0.045434
20100930,0.090383
20101029,0.038726
20101130,-0.000051
20101231,0.067054
20110131,0.023349
20110228,0.032508
20110331,0.000625
20110429,0.029441
20110531,-0.011313
20110630,-0.016545
20110729,-0.019828
20110831,-0.054322
20110930,-0.070238
20111031,0.109023
20111130,-0.002727
20111230,0.009427
20120131,0.045206
20120229,0.04334
20120330,0.032866
20120430,-0.006034
20120531,-0.05979
20120629,0.041465
20120731,0.014363
20120831,0.022744
20120928,0.025079
20121031,-0.017849
20121130,0.00519
20121231,0.008194
20130131,0.052243
20130228,0.013211
20130328,0.037507
20130430,0.019777
20130531,0.022896
20130628,-0.013664
20130731,0.050719
20130830,-0.029336
20130930,0.031707
20131031,0.046313
20131129,0.030811
20131231,0.02581
20140131,-0.034776
20140228,0.045587
20140331,0.008068
20140430,0.006477
20140530,0.023142
20140630,0.020736
20140731,-0.014274
20140829,0.039593
20140930,-0.013867
20141031,0.024587
20141128,0.028012
20141231,-0.002489
20150130,-0.029523
20150227,0.056927
20150331,-0.015044
20150430,0.008673
20150529,0.012649
20150630,-0.019504
20150731,0.021611
20150831,-0.059946
20150930,-0.024533
20151030,0.083284
20151130,0.003317
20151231,-0.015183
